Pergunta;Comparacao;Variante_A;Variante_B;SoftDice;Impacto;N_Tabelas;Wilcoxon_stat;p_value;p_adj_fdr;significant;Modelo
P7;v00_baseline vs Full;v00_baseline;v01_full;0,7119253348012506;0,18407466519874938;24;8,0;4,9632701655326683e-05;0,00031020438534579175;True;MISTRAL
P7;v02_plus_fk vs Full;v02_plus_fk;v01_full;0,6563564363316076;0,23964356366839246;24;6,0;3,86968605856632e-05;0,00031020438534579175;True;MISTRAL
P7;v03_plus_nullable vs Full;v03_plus_nullable;v01_full;0,7194073959901767;0,17659260400982335;24;34,0;0,0009165548286915975;0,0019094892264408282;True;MISTRAL
P7;v04_plus_numeric_stats vs Full;v04_plus_numeric_stats;v01_full;0,6926992915633893;0,20330070843661074;24;10,0;5,125999450683594e-06;0,00012814998626708984;True;MISTRAL
P7;v05_plus_sample_values vs Full;v05_plus_sample_values;v01_full;0,7685846831166575;0,1274153168833425;24;44,0;0,0024558734385170798;0,003837302247682937;True;MISTRAL
P7;v06_plus_frequent_values vs Full;v06_plus_frequent_values;v01_full;0,6787239177380838;0,2172760822619162;24;29,0;0,0005455780864730924;0,0013639452161827309;True;MISTRAL
P7;v07_plus_sample_rows vs Full;v07_plus_sample_rows;v01_full;0,7313073851248992;0,16469261487510078;24;23,0;0,0002847896193216751;0,0011866234138403129;True;MISTRAL
P7;v08_fk_plus_sample_values vs Full;v08_fk_plus_sample_values;v01_full;0,7886365409004323;0,10736345909956768;24;48,0;0,0035616393197702646;0,004686367526013506;True;MISTRAL
P7;v09_fk_plus_frequent_values vs Full;v09_fk_plus_frequent_values;v01_full;0,7040754790114695;0,19192452098853052;24;30,0;0,0006063759037397968;0,0013781270539540836;True;MISTRAL
P7;v10_fk_plus_sample_and_frequent vs Full;v10_fk_plus_sample_and_frequent;v01_full;0,7776207836230841;0,11837921637691595;24;55,0;0,006633557939705239;0,00789709278536338;True;MISTRAL
P7;v11_fk_plus_sample_rows vs Full;v11_fk_plus_sample_rows;v01_full;0,7453264649128387;0,1506735350871613;24;53,0;0,005559299668035352;0,006949124585044189;True;MISTRAL
P7;v12_nullable_plus_sample_values vs Full;v12_nullable_plus_sample_values;v01_full;0,7583263226693292;0,13767367733067082;24;28,0;0,00048756972899219217;0,0013543603583116449;True;MISTRAL
P7;v13_nullable_plus_frequent_values vs Full;v13_nullable_plus_frequent_values;v01_full;0,7077562414219081;0,18824375857809195;24;25,0;0,00035257498993489694;0,0012591963926246318;True;MISTRAL
P7;v14_nullable_plus_numeric_stats vs Full;v14_nullable_plus_numeric_stats;v01_full;0,7190775065725923;0,17692249342740773;24;18,0;3,0159950256347656e-05;0,00031020438534579175;True;MISTRAL
P7;v15_sample_rows_vs_sample_values vs Full;v15_sample_rows_vs_sample_values;v01_full;0,7101653735729455;0,1858346264270545;24;11,0;7,083714087261301e-05;0,000354185704363065;True;MISTRAL
P7;v16_sample_rows_vs_frequent_values vs Full;v16_sample_rows_vs_frequent_values;v01_full;0,7095885837292988;0,18641141627070124;24;42,0;0,0012379884719848633;0,002380747061509352;True;MISTRAL
P7;v17_sample_rows_plus_both_values vs Full;v17_sample_rows_plus_both_values;v01_full;0,7749005354540648;0,12109946454593523;24;66,0;0,016367659631783;0,017790934382372826;True;MISTRAL
P7;v18_fk_nullable_sample_values vs Full;v18_fk_nullable_sample_values;v01_full;0,7633714138413229;0,13262858615867712;24;46,0;0,0029481067606253585;0,0041128502454156795;True;MISTRAL
P7;v19_fk_nullable_frequent_values vs Full;v19_fk_nullable_frequent_values;v01_full;0,717804416674182;0,17819558332581797;24;40,0;0,0016703267121477969;0,0027869306621178384;True;MISTRAL
P7;v20_fk_nullable_both_values vs Full;v20_fk_nullable_both_values;v01_full;0,7398171176199505;0,15618288238004951;24;40,0;0,0016721583972707029;0,0027869306621178384;True;MISTRAL
P7;v21_fk_nullable_sample_rows vs Full;v21_fk_nullable_sample_rows;v01_full;0,71331776050296;0,18268223949704;24;34,0;0,0004298686981201172;0,0013433396816253662;True;MISTRAL
P7;v22_fk_nullable_sample_rows_plus_frequent vs Full;v22_fk_nullable_sample_rows_plus_frequent;v01_full;0,7143683752196003;0,18163162478039974;24;46,0;0,002961252176699289;0,0041128502454156795;True;MISTRAL
