schema,table,row_count,column_count,pk,status,execution_seconds,attempts,processed_at,error
magento2,sales_shipping_aggregated_order,0,8,id,success,0.01,1,2026-09-13T18:56:45.642179,
magento2,salesrule,0,24,rule_id,success,0.01,1,2026-09-13T18:56:45.787111,
magento2,salesrule_coupon,0,10,coupon_id,success,0.01,1,2026-09-13T18:56:45.946056,
magento2,salesrule_coupon_aggregated,0,13,id,success,0.01,1,2026-09-13T18:56:46.097395,
magento2,salesrule_coupon_aggregated_order,0,10,id,success,0.01,1,2026-09-13T18:56:46.269490,
magento2,salesrule_coupon_aggregated_updated,0,13,id,success,0.01,1,2026-09-13T18:56:46.426979,
magento2,salesrule_coupon_usage,0,3,coupon_id|customer_id,success,0.01,1,2026-09-13T18:56:46.604947,
magento2,salesrule_customer,0,4,rule_customer_id,success,0.01,1,2026-09-13T18:56:46.791953,
magento2,salesrule_customer_group,0,2,rule_id|customer_group_id,success,0.01,1,2026-09-13T18:56:46.976388,
magento2,salesrule_label,0,4,label_id,success,0.01,1,2026-09-13T18:56:47.103791,
magento2,salesrule_product_attribute,0,4,rule_id|website_id|customer_group_id|attribute_id,success,0.01,1,2026-09-13T18:56:47.230234,
magento2,salesrule_website,0,2,rule_id|website_id,success,0.01,1,2026-09-13T18:56:47.415448,
magento2,search_query,0,11,query_id,success,0.02,1,2026-09-13T18:56:47.693524,
magento2,sendfriend_log,0,4,log_id,success,0.01,1,2026-09-13T18:56:47.940886,
magento2,shipping_tablerate,0,9,pk,success,0.01,1,2026-09-13T18:56:48.161796,
magento2,sitemap,0,6,sitemap_id,success,0.01,1,2026-09-13T18:56:48.382921,
magento2,store,4,7,store_id,success,0.03,1,2026-09-13T18:56:48.593167,
magento2,store_group,2,5,group_id,success,0.02,1,2026-09-13T18:56:48.840380,
magento2,store_website,2,6,website_id,success,0.04,1,2026-09-13T18:56:49.070607,
